Number,FirstName,LastName,Status,Height,InjuryStatus
,Deion,Jones,Inactive,6'1",
,Mackensie,Alexander,Inactive,5'10",
,Tyler,Boyd,Inactive,6'2",
,Cody,Whitehair,Inactive,6'3",
,Vonn,Bell,Inactive,5'11",
,James,Bradberry IV,Inactive,6'1",
,Adam,Gotsis,Inactive,6'4",
,Michael,Thomas,Inactive,6'3",
,Sterling,Shepard,Inactive,5'10",
,Joe,Schobert,Inactive,6'1",
,Jihad,Ward,Inactive,6'5",
,Carl,Nassib,Inactive,6'7",
,Kenyan,Drake,Inactive,6'1",
,Shon,Coleman,Inactive,6'6",
,Will,Redmond,Inactive,6'0",
,Le'Raven,Clark,Inactive,6'5",
,Jordan,Jenkins,Inactive,6'3",
,Nick,Vigil,Inactive,6'2",
,Kyler,Fackrell,Inactive,6'5",
,Nick,Vannett,Inactive,6'5",
,Graham,Glasgow,Inactive,6'6",
,Justin,Simmons,Inactive,6'2",
,Sheldon,Day,Inactive,6'1",
,Tavon,Young,Inactive,5'9",
,Chris,Moore,Inactive,6'1",
,Nick,Kwiatkoski,Inactive,6'2",
,De'Vondre,Campbell Sr.,Inactive,6'4",
,Hassan,Ridgeway,Inactive,6'3",
,Pharoh,Cooper,Inactive,5'11",
,Juston,Burris,Inactive,6'0",
,Willie,Beavers,Inactive,6'5",
,Deon,Bush,Inactive,6'0",
,Blake,Martinez,Inactive,6'2",
,Rashard,Robinson,Inactive,6'1",
,Tajae,Sharpe,Inactive,6'2",
,Caleb,Benenoch,Inactive,6'5",
,Jordan,Howard,Inactive,6'0",
,Matt,Ioannidis,Inactive,6'3",
,Joe,Haeg,Inactive,6'6",
,Jonathan,Williams,Inactive,6'0",
,Brandon,Shell,Inactive,6'5",
,Kevin,Hogan,Inactive,6'3",
,Halapoulivaati,Vaitai,Inactive,6'6",
,Tyreek,Hill,Inactive,5'10",
,Rashard,Higgins,Inactive,6'1",
,Andy,Janovich,Inactive,6'1",
,Devante,Bond,Inactive,6'1",
,DeAndre,Houston-Carson,Inactive,6'1",
,Derek,Watt,Inactive,6'2",
,Jalen,Mills,Inactive,6'0",
,Dwayne,Washington,Inactive,6'1",
,Jayron,Kearse,Inactive,6'4",
,Clayton,Fejedelem,Inactive,6'1",
,Tyler,Matakevich,Inactive,6'1",
,Austin,Blythe,Inactive,6'2",
,Joe,Walker,Inactive,6'2",
,Jeff,Driskel,Inactive,6'4",
,Kamu,Grugier-Hill,Inactive,6'2",
,Elandon,Roberts,Inactive,5'11",
,Joey,Hunt,Inactive,6'2",
,Will,Parks,Inactive,6'0",
,Kevon,Seymour,Inactive,6'0",
,Cre'Von,LeBlanc,Inactive,5'10",
,Robbie,Chosen,Inactive,6'3",
,Ken,Crawley,Inactive,6'1",
,Stephen,Weatherly,Inactive,6'5",
,Matt,Skura,Inactive,6'3",
,Marcus,Johnson,Inactive,6'1",
,Taylor,Bertolet,Inactive,5'8",
,Justin,Zimmer,Inactive,6'3",
,Antwaun,Woods,Inactive,6'1",
,Stephen,Anderson,Inactive,6'2",
,Romeo,Okwara,Inactive,6'4",
,Geronimo,Allison,Inactive,6'3",
,Rashod,Hill,Inactive,6'6",
,Mike,Hilton,Inactive,5'9",
,Jarrod,Wilson,Inactive,6'2",
,Ryan,Smith,Inactive,5'11",
,Austin,Johnson,Inactive,6'4",
,Marken,Michel,Inactive,5'11",
,Matthias,Farley,Inactive,5'11",
,Justin,Murray,Inactive,6'5",
,Mike,Thomas,Inactive,6'1",
,J.D.,McKissic,Inactive,5'10",
,Trevon,Coley,Inactive,6'1",
,Cory,Littleton,Inactive,6'3",
,Lafayette,Pitts,Inactive,5'10",
,Andrew,Adams,Inactive,5'11",
,Brandin,Bryant,Inactive,6'2",
,George,Fant,Inactive,6'5",
,Aldrick,Rosas,Inactive,6'3",
,C.J.,Ham,Inactive,5'11",
,Michael,Pierce,Inactive,6'0",
,J.P.,Holtz,Inactive,6'3",
,Charles,Washington,Inactive,5'10",
,Brennan,Scarlett,Inactive,6'4",
,Chester,Rogers,Inactive,6'0",
,Jaydon,Mickens,Inactive,5'10",
,Garrett,Griffin,Inactive,6'4",
,Marvin,Hall,Inactive,5'10",
,Sam,Ficken,Inactive,6'1",
,Isaiah,Williams,Inactive,6'3",
,Leonard,Fournette,Inactive,6'0",
,Joe,Mixon,Inactive,6'1",
,Taybor,Pepper,Inactive,6'4",
,Corey,Davis,Inactive,6'3",
,Cyril,Grayson Jr.,Inactive,5'9",
,O.J.,Howard,Inactive,6'6",
,Jabrill,Peppers,Inactive,5'11",
,Marshon,Lattimore,Inactive,6'0",
,Davis,Webb,Inactive,6'5",
,Haason,Reddick,Inactive,6'1",
,Cam,Robinson,Inactive,6'6",
,Derek,Barnett,Inactive,6'3",
,Jarrad,Davis,Inactive,6'1",
,Charles,Harris,Inactive,6'3",
,Ryan,Ramczyk,Inactive,6'6",
,Jamal,Adams,Inactive,6'1",
,Adoree',Jackson,Inactive,5'11",
,Tre'Davious,White,Inactive,5'11",
,Taco,Charlton,Inactive,6'5",
,Zay,Jones,Inactive,6'2",
,Curtis,Samuel,Inactive,5'11",
,Sidney,Jones IV,Inactive,6'0",
,Tyus,Bowser,Inactive,6'3",
,Adam,Shaheen,Inactive,6'7",
,DeMarcus,Walker,Inactive,6'4",
