Number,FantasyPosition,PlayerSeasonID,AuctionValue,AuctionValuePPR
77,OL,991337521,,
77,OL,991307496,,
13,WR,991307497,,
13,WR,991337522,,
21,DB,991408588,,
21,DB,991337523,,
21,DB,991307498,,
37,K,991307499,,
99,DL,991307500,,
30,RB,991408589,,
30,RB,991307501,,
30,RB,991337524,,
10,QB,991323157,,
52,LB,991408590,,
52,LB,991352782,,
98,LB,991337525,,
98,LB,991307502,,
98,LB,991408591,,
50,OL,991408592,,
50,OL,991307503,,
50,OL,991337526,,
5,RB,991408593,,
5,RB,991337527,,
5,RB,991307504,,
27,LB,991385193,,
27,LB,991408594,,
78,OL,991385194,,
68,OL,991337528,,
68,OL,991307505,,
68,OL,991408595,,
95,DL,991408596,,
95,DL,991307506,,
95,DL,991337529,,
73,OL,991347729,,
73,OL,991307507,,
40,LB,991408597,,
40,LB,991307508,,
40,LB,991354871,,
99,DL,991408598,,
99,DL,991337530,,
92,DL,991307509,,
56,LB,991307510,,
56,LB,991337531,,
56,LB,991408599,,
88,WR,991372803,,
43,TE,991307511,,
46,TE,991307512,,
85,TE,991307513,,
85,TE,991337532,,
85,TE,991408600,,
82,TE,991408601,,
82,TE,991337533,,
82,TE,991323158,,
7,DB,991307514,,
7,DB,991337534,,
7,DB,991408602,,
8,DB,991408603,,
8,DB,991337535,,
8,DB,991307515,,
97,DL,991408604,,
97,DL,991307516,,
97,DL,991337536,,
70,OL,991337537,,
70,OL,991307517,,
74,OL,991347726,,
74,OL,991408605,,
33,DB,991408606,,
33,DB,991343062,,
33,DB,991377634,,
91,LB,991337538,,
91,LB,991307518,,
54,LB,991307519,,
54,LB,991351313,,
49,LB,991307520,,
9,QB,991408607,,
9,QB,991307521,,
9,QB,991337539,,
3,RB,991307522,,
79,OL,991307523,,
79,OL,991337540,,
79,OL,991408608,,
29,DB,991408609,,
29,DB,991337541,,
29,DB,991307524,,
64,OL,991408610,,
64,OL,991307525,,
64,OL,991337542,,
65,OL,991307526,,
93,DL,991307527,,
93,DL,991354872,,
93,DL,991408611,,
74,DL,991307528,,
39,DB,991307529,,
20,DB,991408612,,
20,DB,991343077,,
48,LB,991408613,,
48,LB,991337543,,
48,LB,991307530,,
52,LB,991307531,,
52,LB,991337544,,
87,WR,991337545,,
87,WR,991307532,,
87,WR,991408614,,
62,OL,991307533,,
62,OL,991337546,,
81,WR,991307534,,
53,LB,991307535,,
53,LB,991337547,,
53,LB,991408615,,
32,LB,991337548,,
32,LB,991307536,,
0,TE,991307537,,
0,TE,991337549,,
17,WR,991408616,,
17,WR,991337550,,
17,WR,991307538,,
39,RB,991307539,,
18,WR,991408617,,
18,WR,991307540,,
18,WR,991362005,,
26,DB,991337551,,
26,DB,991307541,,
26,DB,991408618,,
36,DB,991307542,,
36,DB,991337552,,
61,OL,991307543,,
96,DL,991307544,,
96,DL,991337553,,
55,LB,991347730,,
55,LB,991408619,,
60,OL,991408620,,
60,OL,991347731,,
16,QB,991307545,,
41,LB,991307546,,
41,LB,991404276,,
27,DB,991307547,,
84,TE,991408621,,
84,TE,991307548,,
84,TE,991337554,,
23,RB,991337555,,
23,RB,991307549,,
23,RB,991408622,,
86,WR,991307550,,
15,WR,991307551,,
15,WR,991337556,,
15,WR,991408623,,
11,LB,991408624,,
11,LB,991337557,,
11,LB,991307552,,
33,LB,991307553,,
3,LB,991337558,,
3,LB,991408625,,
4,WR,991408626,,
4,WR,991337559,,
4,WR,991307554,,
80,WR,991307555,,
35,K,991307556,,
10,K,991337560,,
10,K,991408627,,
92,DL,991408628,,
92,DL,991337561,,
55,DL,991307557,,
57,LB,991307558,,
57,LB,991337562,,
57,LB,991408629,,
22,DB,991408630,,
22,DB,991337563,,
22,DB,991307559,,
75,DL,991307560,,
75,DL,991372804,,
75,DL,991408631,,
28,DB,991307561,,
67,OL,991307562,,
20,DB,991307563,,
47,LB,991307564,,
35,DB,991307565,,
25,DB,991307566,,
31,DB,991307567,,
31,DB,991337564,,
45,TE,991307568,,
66,OL,991307569,,
34,RB,991307570,,
71,OL,991307571,,
42,DB,991307572,,
42,DB,991354873,,
58,LB,991307573,,
43,DB,991307574,,
88,WR,991307575,,
11,QB,991340563,,
11,QB,991315068,,
11,QB,991409042,,
8,K,991409043,,
8,K,991340564,,
8,K,991315069,,
50,DL,991409044,,
50,DL,991340565,,
50,DL,991315070,,
97,DL,991315071,,
97,DL,991340566,,
97,DL,991409045,,
31,DB,991340567,,
